UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2025;-9,490936;-35,814958
Data;Hora;Sentido;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
01/03/2025;0;C;5;11;3;2;1;1;0;0;119;21;2
01/03/2025;0;D;13;2;0;0;1;0;0;0;123;51;5
01/03/2025;1;C;12;8;1;0;1;0;0;0;83;15;5
01/03/2025;1;D;8;5;0;0;0;0;0;0;77;22;2
01/03/2025;2;C;7;4;1;2;2;0;0;0;63;7;1
01/03/2025;2;D;8;1;0;1;0;0;0;0;49;17;0
01/03/2025;3;C;12;4;2;1;0;0;0;0;79;12;6
01/03/2025;3;D;6;3;0;0;0;0;0;0;89;6;5
01/03/2025;4;C;19;3;5;3;0;0;0;0;124;41;6
01/03/2025;4;D;20;7;0;0;0;1;0;0;206;33;10
01/03/2025;5;C;49;11;7;3;7;1;0;0;232;113;3
01/03/2025;5;D;36;10;2;1;3;0;0;0;435;89;16
01/03/2025;6;C;72;18;10;2;3;1;0;0;402;278;9
01/03/2025;6;D;57;17;6;2;1;0;0;0;587;162;18
01/03/2025;7;C;47;22;10;3;6;3;0;0;531;282;16
01/03/2025;7;D;71;16;4;1;3;0;0;0;683;162;11
01/03/2025;8;C;53;19;7;3;10;1;1;0;619;242;17
01/03/2025;8;D;67;16;9;4;4;2;0;0;759;131;9
01/03/2025;9;C;57;14;7;6;3;1;0;1;753;163;18
01/03/2025;9;D;61;18;9;7;3;0;0;1;772;131;17
01/03/2025;10;C;55;15;3;5;2;4;0;0;781;169;7
01/03/2025;10;D;55;15;11;4;1;0;1;0;841;161;18
01/03/2025;11;C;59;17;7;1;1;1;1;0;808;186;10
01/03/2025;11;D;69;18;10;11;4;1;0;0;855;187;21
01/03/2025;12;C;52;19;6;2;2;0;0;0;722;174;10
01/03/2025;12;D;53;12;11;7;1;1;0;0;803;212;13
01/03/2025;13;C;44;11;6;1;1;1;0;0;617;171;11
01/03/2025;13;D;55;9;8;6;1;1;0;0;662;134;17
01/03/2025;14;C;50;10;5;2;1;0;1;0;668;156;15
01/03/2025;14;D;47;6;3;3;1;1;0;0;618;186;21
01/03/2025;15;C;36;8;4;1;2;0;0;0;527;165;11
01/03/2025;15;D;44;11;4;4;3;1;0;0;774;189;16
01/03/2025;16;C;36;3;8;2;5;1;0;0;704;189;10
01/03/2025;16;D;42;6;11;2;4;1;0;0;700;188;10
01/03/2025;17;C;41;12;4;1;5;0;0;0;643;204;8
01/03/2025;17;D;42;8;4;5;4;0;0;0;676;196;17
01/03/2025;18;C;22;1;1;0;3;0;0;0;560;208;8
01/03/2025;18;D;42;8;3;2;1;2;0;0;584;177;18
01/03/2025;19;C;21;7;2;0;1;2;0;0;465;151;7
01/03/2025;19;D;24;1;2;2;2;0;0;0;491;163;6
01/03/2025;20;C;10;4;5;2;1;0;0;0;370;124;3
01/03/2025;20;D;18;1;1;1;0;0;0;0;391;138;5
01/03/2025;21;C;12;7;1;1;1;0;0;0;281;99;1
01/03/2025;21;D;18;5;0;0;1;0;0;0;300;137;3
01/03/2025;22;C;13;4;2;1;2;0;0;0;252;103;2
01/03/2025;22;D;13;5;2;0;1;0;0;0;299;80;6
01/03/2025;23;C;14;8;1;1;0;0;0;0;170;40;1
01/03/2025;23;D;14;0;1;0;0;0;0;0;162;75;1
02/03/2025;0;C;6;2;0;0;0;0;0;0;129;24;1
02/03/2025;0;D;5;1;0;0;0;0;0;0;112;49;1
02/03/2025;1;C;4;2;1;1;0;0;0;0;70;17;1
02/03/2025;1;D;5;0;1;1;0;0;0;0;86;30;1
02/03/2025;2;C;4;3;1;0;0;0;0;0;47;11;2
