;;;;;;Variação do Volume Médio Mensal - VMDm;;;;;;;
UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2023;-9,490936;-35,814958
;;;;;;Classes PNCT;;;;;;;
Mês;Sentido;Nº Dias;VMDm;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
;C;29;13655;1273;302;119;91;105;25;3;24;8856;2694;163
;D;29;13751;1346;300;142;101;94;28;3;22;9006;2548;161
Janeiro;Total;29;27406;2619;602;261;192;199;53;6;46;17862;5242;324
;C;28;12654;1187;268;116;79;95;25;1;17;8234;2482;150
;D;28;11576;1252;275;134;94;89;25;2;15;8276;1266;148
Fevereiro;Total;28;24230;2439;543;250;173;184;50;3;32;16510;3748;298
;C;28;13062;1319;309;128;93;119;23;1;20;8234;2664;152
;D;28;12002;1400;305;144;113;108;28;2;17;8386;1344;155
Março;Total;28;25064;2719;614;272;206;227;51;3;37;16620;4008;307
;C;30;12429;1133;273;106;71;95;17;0;12;8070;2517;135
;D;30;11404;1209;274;125;90;84;15;2;13;8187;1271;134
Abril;Total;30;23833;2342;547;231;161;179;32;2;25;16257;3788;269
;C;31;13150;1607;306;116;79;95;15;0;16;8007;2774;135
;D;31;12009;1852;304;142;92;86;16;1;13;7828;1540;135
Maio;Total;31;25159;3459;610;258;171;181;31;1;29;15835;4314;270
;C;27;12490;1588;275;109;68;89;14;0;18;7676;2531;122
;D;27;11873;1925;275;132;87;83;15;2;16;7695;1513;130
Junho;Total;27;24363;3513;550;241;155;172;29;2;34;15371;4044;252
;C;28;12876;1199;294;121;72;92;16;0;20;8282;2644;136
;D;28;11750;1270;292;144;88;91;16;2;20;8404;1290;133
Julho;Total;28;24626;2469;586;265;160;183;32;2;40;16686;3934;269
;C;30;13347;1334;314;128;86;102;16;1;22;8477;2730;137
;D;30;12057;1379;301;149;98;86;18;2;20;8518;1353;133
Agosto;Total;30;25404;2713;615;277;184;188;34;3;42;16995;4083;270
;C;29;12895;1265;301;127;87;101;21;1;22;8199;2630;141
;D;29;11507;1308;283;139;97;88;21;2;21;8115;1299;134
Setembro;Total;29;24402;2573;584;266;184;189;42;3;43;16314;3929;275
;C;29;12868;1270;300;127;93;116;25;3;18;8034;2737;145
;D;29;11560;1330;288;147;106;96;23;3;17;8072;1331;147
Outubro;Total;29;24428;2600;588;274;199;212;48;6;35;16106;4068;292
;C;30;13743;1385;330;135;99;116;28;1;24;8499;2972;154
;D;30;12275;1473;323;152;108;98;27;2;12;8405;1522;153
Novembro;Total;30;26018;2858;653;287;207;214;55;3;36;16904;4494;307
