;;;;;;Variação do Volume Médio Mensal - VMDm;;;;;;;
UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2022;-9,490936;-35,814958
;;;;;;Classes PNCT;;;;;;;
Mês;Sentido;Nº Dias;VMDm;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
;C;30;11896;1130;264;92;77;90;21;3;15;7668;2386;150
;D;30;12155;1189;253;111;89;67;20;3;14;7853;2407;149
Janeiro;Total;30;24051;2319;517;203;166;157;41;6;29;15521;4793;299
;C;27;12146;1216;284;102;85;87;18;2;15;7736;2459;142
;D;27;12419;1259;279;123;92;66;15;2;17;7866;2556;144
Fevereiro;Total;27;24565;2475;563;225;177;153;33;4;32;15602;5015;286
;C;31;12279;1251;298;105;79;85;13;1;17;7811;2478;141
;D;31;12349;1309;292;129;88;63;15;1;19;7813;2485;135
Março;Total;31;24628;2560;590;234;167;148;28;2;36;15624;4963;276
;C;30;12253;1190;271;98;72;79;12;0;17;7850;2528;136
;D;30;12476;1243;257;121;73;62;15;1;15;7987;2564;138
Abril;Total;30;24729;2433;528;219;145;141;27;1;32;15837;5092;274
;C;30;11696;1194;253;93;70;79;11;0;16;7530;2324;126
;D;30;11876;1256;245;115;74;65;15;1;14;7632;2333;126
Maio;Total;30;23572;2450;498;208;144;144;26;1;30;15162;4657;252
;C;28;11415;1198;261;104;70;80;11;0;14;7356;2195;126
;D;28;11698;1270;251;122;79;61;13;1;14;7504;2257;126
Junho;Total;28;23113;2468;512;226;149;141;24;1;28;14860;4452;252
;C;31;12566;1292;271;99;71;84;12;0;13;8234;2365;125
;D;31;12714;1365;269;122;77;65;13;1;10;8281;2381;130
Julho;Total;31;25280;2657;540;221;148;149;25;1;23;16515;4746;255
;C;28;12273;1319;292;103;72;88;12;0;15;7884;2363;125
;D;28;12437;1381;277;133;80;63;14;0;11;8009;2338;131
Agosto;Total;28;24710;2700;569;236;152;151;26;0;26;15893;4701;256
;C;30;13221;1362;297;106;83;88;16;4;19;8563;2542;141
;D;30;13434;1450;286;135;82;67;17;5;14;8732;2501;145
Setembro;Total;30;26655;2812;583;241;165;155;33;9;33;17295;5043;286
;C;30;13349;1302;287;110;93;95;21;8;20;8608;2652;153
;D;30;13117;1347;265;128;93;69;20;8;15;8536;2487;149
Outubro;Total;30;26466;2649;552;238;186;164;41;16;35;17144;5139;302
;C;22;13173;1324;296;116;94;105;17;9;18;8428;2615;151
;D;22;13208;1427;290;148;105;84;18;9;19;8567;2388;153
Novembro;Total;22;26381;2751;586;264;199;189;35;18;37;16995;5003;304
;C;28;14193;1309;293;120;95;112;20;5;20;9327;2724;168
;D;28;14379;1404;293;146;107;93;21;6;20;9529;2592;168
Dezembro;Total;28;28572;2713;586;266;202;205;41;11;40;18856;5316;336
