UF;BR;Km;Ano;Latitude;Longitude
AL;104;89,3;2024;-9,490936;-35,814958
Data;Hora;Sentido;(A) Ônibus/Caminhão de 2 eixos;(B) Ônibus/Caminhão de 3 eixos;(C) Caminhão de 4 eixos;(D) Caminhão de 5 eixos;(E) Caminhão de 6 eixos;(F) Caminhão de 7 eixos;(G) Caminhão de 8 eixos;(H) Caminhão de 9 eixos;(I) Passeio;(J) Motocicleta;(L) Indefinido
01/01/2024;0;C;1;0;0;0;0;0;0;0;34;13;1
01/01/2024;0;D;1;0;0;0;0;0;0;0;40;5;1
01/01/2024;1;C;7;0;0;0;1;0;0;0;242;65;0
01/01/2024;1;D;17;0;0;0;0;0;0;0;383;72;0
01/01/2024;2;C;2;0;0;0;0;0;0;0;213;47;0
01/01/2024;2;D;14;1;0;0;0;0;0;0;307;28;0
01/01/2024;3;C;6;1;0;0;0;0;0;0;178;41;0
01/01/2024;3;D;6;2;0;0;0;0;0;0;212;28;1
01/01/2024;4;C;11;2;0;0;0;0;0;0;125;38;0
01/01/2024;4;D;14;1;0;0;0;0;0;0;187;22;1
01/01/2024;5;C;24;4;0;0;1;0;0;0;176;67;1
01/01/2024;5;D;27;7;0;0;0;0;0;0;177;32;0
01/01/2024;6;C;50;5;0;0;1;0;0;0;203;101;0
01/01/2024;6;D;26;2;0;3;1;0;0;0;260;40;4
01/01/2024;7;C;59;6;0;0;0;0;0;0;248;74;0
01/01/2024;7;D;32;3;2;0;0;0;0;0;328;48;3
01/01/2024;8;C;37;0;1;0;1;0;0;0;335;77;1
01/01/2024;8;D;34;3;1;3;1;1;0;0;345;43;3
01/01/2024;9;C;28;1;0;0;0;2;0;1;357;75;1
01/01/2024;9;D;35;3;4;3;0;0;0;1;423;55;3
01/01/2024;10;C;27;3;1;0;2;0;0;1;398;101;2
01/01/2024;10;D;33;4;1;0;2;0;0;0;517;54;3
01/01/2024;11;C;27;4;1;0;0;0;0;0;454;97;3
01/01/2024;11;D;37;5;0;0;2;0;0;1;527;61;2
01/01/2024;12;C;31;3;0;0;0;0;1;0;411;103;4
01/01/2024;12;D;39;1;1;1;0;0;0;0;500;52;6
01/01/2024;13;C;23;3;0;0;1;0;0;0;504;94;2
01/01/2024;13;D;41;2;2;3;1;1;0;0;517;53;2
01/01/2024;14;C;39;2;0;1;1;0;0;0;538;130;1
01/01/2024;14;D;33;1;1;3;1;0;0;0;562;59;1
01/01/2024;15;C;44;4;1;2;0;0;0;1;753;134;7
01/01/2024;15;D;44;1;1;3;1;1;0;3;621;62;2
01/01/2024;16;C;54;1;3;0;1;0;0;0;873;170;5
01/01/2024;16;D;53;7;2;0;3;0;0;0;645;66;3
01/01/2024;17;C;51;2;5;0;2;0;0;0;923;171;6
01/01/2024;17;D;71;9;2;2;2;0;0;0;674;77;0
01/01/2024;18;C;44;12;0;2;1;0;0;0;857;171;8
01/01/2024;18;D;64;3;2;1;1;0;0;0;547;85;1
01/01/2024;19;C;40;4;0;0;2;0;0;0;495;101;6
01/01/2024;19;D;47;0;0;3;4;0;0;1;469;100;0
01/01/2024;20;C;28;4;1;0;2;0;0;0;501;82;1
01/01/2024;20;D;36;3;1;2;3;1;0;0;414;46;3
01/01/2024;21;C;28;3;1;0;1;0;0;0;363;85;1
01/01/2024;21;D;25;2;1;0;2;0;0;0;322;58;4
01/01/2024;22;C;20;5;1;0;1;0;0;0;257;55;2
01/01/2024;22;D;13;7;0;1;1;0;0;1;235;49;2
01/01/2024;23;C;10;3;3;0;0;0;0;0;142;42;2
01/01/2024;23;D;21;1;1;0;2;0;0;0;136;26;1
02/01/2024;0;C;6;4;1;0;0;0;0;0;70;17;1
02/01/2024;0;D;7;2;1;0;2;1;0;0;89;16;1
02/01/2024;1;C;10;3;0;0;0;0;0;0;32;12;0
02/01/2024;1;D;7;2;0;1;0;0;0;0;46;4;0
02/01/2024;2;C;11;1;1;0;0;0;0;0;33;2;1
02/01/2024;2;D;12;2;4;1;0;0;0;0;40;5;0
02/01/2024;3;C;10;5;0;5;2;0;0;1;46;5;3
02/01/2024;3;D;17;6;1;3;1;0;0;1;61;3;0
02/01/2024;4;C;36;11;3;2;2;0;0;2;121;44;4
02/01/2024;4;D;49;10;4;7;3;0;0;0;188;10;2
02/01/2024;5;C;117;12;9;8;6;1;0;3;389;262;9
02/01/2024;5;D;25;4;1;1;1;0;0;0;139;10;3
02/01/2024;6;C;100;15;4;5;5;0;0;2;572;499;8
02/01/2024;7;C;111;16;3;10;8;1;0;3;627;325;14
02/01/2024;8;C;96;43;11;4;4;2;0;4;568;172;10
02/01/2024;8;D;103;25;3;7;2;0;0;1;437;48;3
02/01/2024;9;C;104;29;15;3;7;3;0;4;594;148;16
02/01/2024;9;D;143;26;6;9;4;0;0;0;643;74;9
02/01/2024;10;C;111;32;2;5;10;3;0;4;620;131;17
02/01/2024;10;D;136;25;6;9;9;0;0;1;642;74;13
02/01/2024;11;C;96;33;4;7;4;1;0;4;635;129;14
02/01/2024;11;D;135;30;6;6;3;1;0;2;659;82;15
02/01/2024;12;C;83;15;5;6;5;3;0;1;583;146;7
02/01/2024;12;D;116;18;13;8;5;1;0;1;587;82;15
02/01/2024;13;C;90;21;9;6;8;2;0;1;589;134;14
02/01/2024;13;D;103;19;11;5;6;0;0;0;477;66;13
02/01/2024;14;C;96;26;3;4;8;2;0;2;529;122;11
02/01/2024;14;D;97;29;7;8;3;3;0;0;562;84;13
02/01/2024;15;C;87;20;1;2;4;2;0;0;545;116;8
02/01/2024;15;D;140;29;6;9;3;0;0;1;517;95;9
02/01/2024;16;C;115;15;11;5;3;2;0;0;653;156;12
02/01/2024;16;D;138;26;21;9;4;3;0;2;520;117;9
02/01/2024;17;C;97;12;8;2;8;1;0;2;766;211;11
02/01/2024;17;D;117;21;11;10;11;0;0;0;611;246;9
02/01/2024;18;C;65;8;8;2;4;0;0;1;600;167;5
02/01/2024;18;D;90;10;6;5;1;2;0;1;399;124;5
02/01/2024;19;C;60;8;3;2;5;0;0;0;459;134;5
02/01/2024;19;D;85;9;6;5;3;3;0;0;443;139;11
02/01/2024;20;C;31;9;8;3;4;0;0;2;329;92;8
02/01/2024;20;D;34;8;4;6;2;2;0;2;351;90;8
02/01/2024;21;C;27;9;11;5;3;1;0;1;253;95;11
02/01/2024;21;D;25;8;2;6;3;1;0;0;291;69;4
02/01/2024;22;C;35;13;9;2;1;1;0;0;192;64;3
02/01/2024;22;D;38;3;7;4;1;4;0;0;231;61;2
02/01/2024;23;C;21;2;6;1;0;0;0;0;124;29;3
02/01/2024;23;D;20;5;2;1;1;0;0;0;141;26;0
03/01/2024;0;C;13;3;5;2;0;1;0;0;59;16;2
03/01/2024;0;D;12;3;4;1;0;0;0;0;85;18;0
03/01/2024;1;C;4;4;0;1;0;0;0;2;48;5;0
03/01/2024;1;D;10;7;4;3;0;0;0;0;44;4;0
03/01/2024;2;C;11;6;1;1;3;0;0;0;47;7;1
03/01/2024;2;D;9;6;1;1;0;0;1;0;35;4;1
03/01/2024;3;C;18;5;1;3;1;2;0;0;39;7;3
03/01/2024;3;D;21;7;0;2;1;0;0;0;37;1;1
03/01/2024;4;C;33;18;1;4;6;0;0;1;84;33;3
03/01/2024;4;D;31;6;0;5;1;1;0;1;92;10;2
03/01/2024;5;C;125;24;11;8;10;5;0;1;268;222;5
03/01/2024;5;D;77;17;2;3;2;3;0;0;229;31;6
03/01/2024;6;C;122;32;17;11;9;1;0;3;509;449;14
03/01/2024;6;D;125;22;5;5;1;1;0;1;437;85;9
03/01/2024;7;C;115;36;16;10;8;4;0;2;576;330;6
03/01/2024;7;D;132;12;6;4;1;1;0;1;658;84;8
03/01/2024;8;C;105;28;8;8;12;1;0;3;528;179;19
03/01/2024;8;D;142;25;3;6;3;2;0;0;616;93;9
03/01/2024;9;C;104;36;7;6;7;2;0;5;564;162;12
03/01/2024;9;D;137;34;16;9;6;2;1;1;614;74;8
03/01/2024;10;C;92;38;6;4;6;7;0;2;587;140;18
03/01/2024;10;D;134;35;8;12;8;1;0;0;551;73;15
03/01/2024;11;C;102;26;4;5;9;1;0;3;473;150;13
03/01/2024;11;D;143;26;10;10;4;2;0;0;581;75;10
03/01/2024;12;C;98;24;3;4;6;2;0;0;511;152;10
03/01/2024;12;D;128;30;6;7;9;1;0;0;468;88;10
03/01/2024;13;C;106;35;10;7;4;0;0;0;511;129;5
03/01/2024;13;D;104;22;6;3;4;2;0;0;449;84;11
03/01/2024;14;C;100;35;6;3;6;2;0;1;529;106;8
03/01/2024;14;D;107;35;9;5;5;4;0;5;469;88;15
03/01/2024;15;C;84;26;3;4;9;0;0;0;410;93;6
03/01/2024;15;D;114;30;9;5;8;1;0;1;505;87;7
03/01/2024;16;C;106;26;2;3;8;0;0;1;536;165;8
03/01/2024;16;D;124;27;10;12;5;3;0;2;522;125;8
03/01/2024;17;C;118;16;13;5;7;3;0;0;657;214;13
03/01/2024;17;D;91;13;10;9;6;2;0;1;399;149;8
03/01/2024;18;C;82;9;5;7;4;2;0;0;501;197;10
03/01/2024;18;D;136;19;9;11;8;1;0;0;591;205;9
03/01/2024;19;C;66;5;5;5;4;2;0;0;424;124;5
03/01/2024;19;D;86;14;4;3;10;1;0;1;483;151;10
03/01/2024;20;C;45;13;4;3;3;1;0;1;305;105;8
03/01/2024;20;D;57;9;3;6;6;1;0;0;341;109;5
03/01/2024;21;C;46;15;9;2;7;1;0;2;276;106;6
03/01/2024;21;D;46;15;2;4;2;0;0;0;292;79;7
03/01/2024;22;C;37;11;8;6;0;0;0;1;156;56;3
03/01/2024;22;D;26;8;10;3;3;1;0;0;208;70;3
03/01/2024;23;C;18;5;4;3;0;0;0;1;117;41;7
03/01/2024;23;D;17;12;2;3;4;0;0;0;133;32;2
04/01/2024;0;C;21;9;3;0;2;0;0;0;72;17;8
04/01/2024;0;D;15;6;1;2;2;1;0;0;87;20;5
04/01/2024;1;C;13;5;1;0;3;0;0;0;47;10;3
04/01/2024;1;D;5;4;1;1;1;0;0;0;38;11;2
04/01/2024;2;C;10;5;2;3;0;1;0;0;50;10;5
04/01/2024;2;D;7;2;3;2;2;1;0;0;33;6;4
04/01/2024;3;C;12;2;1;3;2;0;0;0;55;11;6
04/01/2024;3;D;14;6;0;1;2;0;0;0;46;2;4
04/01/2024;4;C;49;18;3;6;3;0;0;0;91;43;6
04/01/2024;4;D;40;13;2;4;2;0;0;0;102;11;2
04/01/2024;5;C;114;25;11;10;13;1;0;0;283;234;6
04/01/2024;5;D;86;20;8;5;5;2;0;1;236;36;8
04/01/2024;6;C;142;26;8;6;4;2;0;0;501;473;13
04/01/2024;6;D;135;21;5;6;7;4;0;0;480;91;13
04/01/2024;7;C;115;28;14;1;5;0;0;1;542;337;16
04/01/2024;7;D;145;17;2;2;5;0;0;1;569;102;15
04/01/2024;8;C;103;43;14;8;7;4;0;2;526;181;15
04/01/2024;8;D;145;29;4;2;3;0;0;1;498;84;10
04/01/2024;9;C;101;45;5;4;12;4;0;3;530;147;12
04/01/2024;9;D;134;35;6;7;3;2;0;1;580;80;10
04/01/2024;10;C;87;47;8;10;7;4;0;0;532;140;11
04/01/2024;10;D;137;25;7;7;6;1;0;1;556;101;17
04/01/2024;11;C;90;34;5;6;5;6;0;1;536;137;13
04/01/2024;11;D;60;25;10;5;1;0;0;1;264;35;8
04/01/2024;12;C;78;26;8;5;3;1;0;0;453;112;10
04/01/2024;13;C;56;13;6;5;2;1;0;1;376;91;5
04/01/2024;13;D;2;0;0;0;0;0;0;0;11;1;1
04/01/2024;14;C;78;19;5;4;6;4;0;2;394;101;6
04/01/2024;14;D;51;15;3;4;5;1;0;1;258;33;3
04/01/2024;15;C;76;17;9;2;7;1;0;0;403;93;6
04/01/2024;15;D;59;12;3;2;2;1;0;2;252;48;8
04/01/2024;16;C;88;8;5;1;5;2;0;1;396;115;6
04/01/2024;16;D;67;11;6;1;4;0;0;0;263;81;3
04/01/2024;17;C;74;5;8;3;3;0;1;1;442;157;5
04/01/2024;17;D;94;18;11;6;2;1;0;2;441;181;11
